,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
24,0.0309341724047145,0.0009569230223646,0.0309341724130479,0.1185608,0.1654053,-0.1654053
25,0.0412092167976807,0.0016981995490782,0.0412092280732608,0.4024963,0.4024963,-0.3852844
26,0.0344371184619958,0.0011859151279655,0.034437120158804,0.1958923,0.2009583,-0.2009583
27,0.0207681600813385,0.0004313164731641,0.0207681862959203,0.1473694,0.1473694,-0.1258545
28,0.022983745751791,0.0005282525687829,0.0229841735341665,0.1557617,0.1557617,-0.1508484
29,0.0534763475074603,0.0028597197427386,0.0534763652980084,0.2915039,0.3250732,-0.3250732
30,0.0277111635325849,0.0007679085843296,0.0277111665123758,0.1615906,0.1615906,-0.1260071
31,0.0237122238628244,0.0005622695605207,0.0237122875891663,0.5956116,0.5956116,-0.2865601
32,0.0041947712885517,1.759610616325816e-05,0.0041949018655762,0.0255127,0.03063965,-0.03063965
33,0.0084361466218175,7.116856982480353e-05,0.008436203379847,0.05545044,0.05545044,-0.05358887
34,0.0391905040027913,0.0015358956039928,0.0391905113509637,0.2824707,0.2824707,-0.2793579
35,0.0200068306559623,0.0004002732728963,0.0200068396300547,0.467865,0.5085144,-0.5085144
36,0.0130080041184586,0.0001692081711458,0.0130091337613651,0.06729126,0.1131287,-0.1131287
37,0.042431072787254,0.0018003959378772,0.0424310744538501,0.2947693,0.2947693,-0.216095
38,0.0382046079745229,0.0014595920704869,0.0382046081650913,0.2741089,0.2741089,-0.2236023
39,0.0414610871136573,0.0017190217446462,0.0414610955240683,0.2554626,0.3132935,-0.3132935
40,0.0794949672173158,0.0063194498128821,0.0794949834095395,0.7658691,0.7658691,-0.7459106
41,0.0137802895719381,0.0001898963806864,0.0137815808153277,0.1165161,0.1165161,-0.0977478
42,0.0124161478477309,0.0001541607273767,0.0124161773259691,0.09561157,0.1390076,-0.1390076
43,0.037400113152874,0.0013987684638477,0.0374001136039439,0.2043152,0.2288818,-0.2288818
44,0.035636872850968,0.001269986706596,0.0356368733560228,0.148407,0.319519,-0.319519
45,0.022392190030295,0.0005014101743528,0.0223922145601339,0.2164307,0.2164307,-0.1271667
46,0.0082798305072572,6.855559322890865e-05,0.0082798689500374,0.0725708,0.0725708,-0.05914307
47,0.0046894958584632,2.199137140654373e-05,0.0046895692090347,0.04504395,0.04504395,-0.02923584
48,0.0181032943821158,0.0003277292674855,0.0181040506226917,0.1339722,0.1339722,-0.09292603
